City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
174,Parrita,CR,2022-11-12 14:11:33,9.5201,-84.3225,78.98,81,100,1.07,overcast clouds
175,Port Hardy,CA,2022-11-12 14:11:34,50.6996,-127.4199,37.62,87,41,3.36,scattered clouds
176,Hofn,IS,2022-11-12 14:11:34,64.2539,-15.2082,45.32,82,29,11.59,scattered clouds
177,Sangmelima,CM,2022-11-12 14:11:34,2.9333,11.9833,80.4,68,64,3.18,light rain
178,Flinders,AU,2022-11-12 14:11:35,-34.5833,150.8552,63.37,90,65,2.46,broken clouds
179,Kahului,US,2022-11-12 14:10:23,20.8947,-156.47,75.85,79,75,6.91,broken clouds
180,Ambilobe,MG,2022-11-12 14:11:35,-13.2,49.05,81.73,67,17,9.4,light rain
181,Khandyga,RU,2022-11-12 14:11:35,62.6667,135.6,-17.46,100,99,4.36,overcast clouds
182,Manacor,ES,2022-11-12 14:12:35,39.5696,3.2096,74.34,72,1,9.44,clear sky
183,Ancud,CL,2022-11-12 14:12:36,-41.8697,-73.8203,54.45,91,99,3.49,light rain
184,Cape Canaveral,US,2022-11-12 14:10:21,28.4058,-80.6048,76.06,89,0,5.75,clear sky
185,Qostanay,KZ,2022-11-12 14:12:36,53.1667,63.5833,39.49,87,0,17.9,clear sky
186,Tilichiki,RU,2022-11-12 14:12:36,60.4667,166.1,16.02,89,100,6.93,overcast clouds
187,Zamora,EC,2022-11-12 14:12:37,-4.0692,-78.9567,78.84,65,99,0.54,overcast clouds
188,Graciano Sanchez,MX,2022-11-12 14:12:37,23.9167,-99.2833,61.75,76,98,13.04,overcast clouds
189,Ilulissat,GL,2022-11-12 14:12:37,69.2167,-51.1,14.02,73,40,2.3,scattered clouds
190,Cidreira,BR,2022-11-12 14:04:07,-30.1811,-50.2056,72.61,77,53,9.08,broken clouds
191,Catuday,PH,2022-11-12 14:12:37,16.2923,119.8062,81.16,78,3,8.46,clear sky
192,Athens,GR,2022-11-12 14:08:48,37.9795,23.7162,61.38,73,75,9.22,broken clouds
193,Nalut,LY,2022-11-12 14:12:38,30.3333,10.85,71.29,30,2,3.24,clear sky
194,Marsh Harbour,BS,2022-11-12 14:12:38,26.5412,-77.0636,80.17,72,2,4.16,clear sky
195,Kruisfontein,ZA,2022-11-12 14:06:34,-34.0033,24.7314,66.85,79,51,22.3,broken clouds
196,Magadan,RU,2022-11-12 14:12:39,59.5667,150.8,-0.9,80,15,7.63,few clouds
197,Victoria,HK,2022-11-12 14:01:38,22.2855,114.1577,77.32,85,0,8.99,clear sky
198,Cabo San Lucas,MX,2022-11-12 14:04:08,22.8909,-109.9124,69.06,69,70,4.92,broken clouds
199,Hasaki,JP,2022-11-12 14:12:39,35.7333,140.8333,57.22,77,3,11.36,clear sky
200,Nouadhibou,MR,2022-11-12 14:12:40,20.931,-17.0347,71.17,72,2,8.75,clear sky
201,Hualmay,PE,2022-11-12 14:12:40,-11.0964,-77.6139,66.56,77,53,7.45,broken clouds
202,Ust-Ishim,RU,2022-11-12 14:12:40,57.6935,71.1665,33.76,99,100,3.91,overcast clouds
203,Nanortalik,GL,2022-11-12 14:12:41,60.1432,-45.2371,29.62,77,54,1.57,broken clouds
204,Los Llanos De Aridane,ES,2022-11-12 14:02:53,28.6585,-17.9182,71.35,75,75,4.61,broken clouds
205,Haines Junction,CA,2022-11-12 14:12:41,60.7522,-137.5108,21.27,95,89,5.5,overcast clouds
206,Edson,CA,2022-11-12 14:12:42,53.5835,-116.4356,28.51,97,100,3.44,light snow
207,Remanso,BR,2022-11-12 14:12:42,-9.6179,-42.0831,86.68,51,22,11.07,few clouds
208,Zhigansk,RU,2022-11-12 14:12:42,66.7697,123.3711,3.43,95,100,16.28,light snow
209,Lavrentiya,RU,2022-11-12 14:12:42,65.5833,-171.0,15.48,80,3,13.11,clear sky
210,Portland,US,2022-11-12 14:11:16,45.5234,-122.6762,42.82,74,75,8.05,broken clouds
211,Barrow,US,2022-11-12 14:01:02,71.2906,-156.7887,1.42,85,40,8.05,mist
212,Norman Wells,CA,2022-11-12 14:04:07,65.282,-126.8329,17.58,89,100,9.62,overcast clouds
213,Csongrad,HU,2022-11-12 14:12:43,46.7133,20.1424,58.14,87,64,3.47,broken clouds
214,Tiksi,RU,2022-11-12 14:04:03,71.6872,128.8694,-18.69,100,84,3.42,broken clouds
215,Sainte-Maxime,FR,2022-11-12 14:12:43,43.3,6.6333,69.93,69,100,2.91,overcast clouds
216,Shache,CN,2022-11-12 14:12:44,38.4167,77.2406,44.62,29,92,5.08,overcast clouds
217,Savonlinna,FI,2022-11-12 14:12:44,61.8699,28.88,50.05,62,40,21.85,scattered clouds
218,Kralendijk,BQ,2022-11-12 14:12:44,12.15,-68.2667,76.98,100,75,9.22,broken clouds
219,Jinxiang,CN,2022-11-12 14:12:44,27.4327,120.6062,69.64,93,2,3.71,clear sky
220,Sala Consilina,IT,2022-11-12 14:12:45,40.3912,15.5989,52.57,81,100,4.68,overcast clouds
221,Porbandar,IN,2022-11-12 14:12:45,21.6422,69.6093,83.44,45,6,6.87,clear sky
222,La Asuncion,VE,2022-11-12 14:12:45,11.0333,-63.8628,82.26,75,80,12.08,broken clouds
223,Itaituba,BR,2022-11-12 14:12:46,-4.2761,-55.9836,96.15,34,100,3.2,overcast clouds
224,Saint-Joseph,RE,2022-11-12 14:12:46,-21.3667,55.6167,77.38,69,7,7.14,clear sky
225,Rabo De Peixe,PT,2022-11-12 14:12:46,37.8,-25.5833,66.27,96,75,20.71,broken clouds
226,Khatanga,RU,2022-11-12 14:02:54,71.9667,102.5,-23.6,97,99,7.52,overcast clouds
227,Kautokeino,NO,2022-11-12 14:12:46,69.0125,23.0412,34.23,98,100,18.05,snow
228,Kavaratti,IN,2022-11-12 14:12:47,10.5669,72.642,79.05,81,100,9.75,light rain
229,Sao Filipe,CV,2022-11-12 14:12:47,14.8961,-24.4956,77.27,74,100,7.05,overcast clouds
230,Umm Kaddadah,SD,2022-11-12 14:13:47,13.6017,26.6876,86.92,16,20,12.08,few clouds
231,Nioro,GM,2022-11-12 14:13:48,13.35,-15.75,93.94,18,39,3.65,scattered clouds
232,Baculin,PH,2022-11-12 14:13:48,7.4525,126.5842,79.07,82,34,5.06,scattered clouds
233,Nabire,ID,2022-11-12 14:13:48,-3.3667,135.4833,76.1,92,100,3.78,overcast clouds
234,Lebu,CL,2022-11-12 14:13:48,-37.6167,-73.65,57.79,72,100,12.84,light rain
235,Muros,ES,2022-11-12 14:13:49,42.7762,-9.0603,72.68,55,100,6.78,overcast clouds
236,Henties Bay,NA,2022-11-12 14:13:49,-22.116,14.2845,64.13,67,0,15.14,clear sky
237,Russell,US,2022-11-12 14:13:49,32.3502,-85.1999,64.0,100,100,4.61,mist
238,Carlisle,US,2022-11-12 14:13:50,40.2015,-77.1889,62.64,72,100,12.71,overcast clouds
239,Dhidhdhoo,MV,2022-11-12 14:13:50,6.8833,73.1,82.08,74,100,10.47,overcast clouds
240,Salinopolis,BR,2022-11-12 14:04:06,-0.6136,-47.3561,83.28,75,45,9.46,scattered clouds
241,Bethel,US,2022-11-12 14:04:05,41.3712,-73.414,69.19,81,89,10.0,overcast clouds
242,Farah,AF,2022-11-12 14:13:21,32.5,62.5,66.0,27,100,1.7,overcast clouds
243,Hoogstraten,BE,2022-11-12 14:13:51,51.4021,4.7618,62.1,77,44,1.99,scattered clouds
244,Sao Miguel Do Araguaia,BR,2022-11-12 14:13:51,-13.275,-50.1628,90.57,45,99,2.17,light rain
245,Sembe,CG,2022-11-12 14:13:52,1.6481,14.5806,83.44,64,77,3.2,light rain
246,Gaya,IN,2022-11-12 14:13:52,24.7833,85.0,70.09,38,7,6.31,clear sky
247,Port Moresby,PG,2022-11-12 14:13:52,-9.4431,147.1797,76.96,88,50,10.27,scattered clouds
248,Sorland,NO,2022-11-12 14:13:52,67.667,12.6934,46.26,73,37,21.54,scattered clouds
249,Isla Mujeres,MX,2022-11-12 14:13:53,21.2311,-86.731,78.85,65,0,2.42,clear sky
250,Kyshtovka,RU,2022-11-12 14:13:53,56.555,76.6271,33.06,99,100,9.37,light snow
