Hotel_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
460,Armeria,MX,73.47,few clouds,18.9333,-103.9667,Hotel la Herradura
463,Faya,SA,66.31,broken clouds,18.3851,42.4509,شيلة نسايم
464,Labuhan,ID,80.65,overcast clouds,-6.8844,112.2051,DoubleFAG
466,Surt,LY,72.34,clear sky,31.2089,16.5887,فندق المدينة
469,Cayenne,GF,77.04,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
470,Belen,TR,66.34,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
474,Black River,JM,78.51,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
476,Mecca,SA,87.06,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
477,Idenao,CM,82.31,light rain,4.2475,9.0047,Moland Beach Resort
478,Durban,ZA,86.92,overcast clouds,-29.8579,31.0292,Hilton Durban
485,Vanimo,PG,79.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
486,Maxixe,MZ,84.02,scattered clouds,-23.8597,35.3472,Oceano
488,Palu,ID,77.32,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
494,Mocuba,MZ,90.68,broken clouds,-16.8392,36.9856,Phama Lodge
495,Ploemeur,FR,65.62,clear sky,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
497,Alofi,NU,76.39,broken clouds,-19.0595,-169.9187,Taloa Heights
498,Trincomalee,LK,79.18,overcast clouds,8.5711,81.2335,Welcombe Hotel
503,Sao Domingos,BR,85.46,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
505,Padrauna,IN,69.35,clear sky,26.9025,83.9819,Hotel Sky Lark
508,Namatanai,PG,79.18,light rain,-3.6667,152.4333,Seagulls Inn Namatani
511,Lagunas,PE,89.98,broken clouds,-5.2269,-75.6753,Hospedaje Eco
512,Kerema,PG,78.78,broken clouds,-7.9631,145.7785,Frena Lodge
513,Tocopilla,CL,67.69,clear sky,-22.092,-70.1979,Hotel Galvarino
516,Mizdah,LY,70.74,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
517,Portoviejo,EC,74.61,overcast clouds,-1.05,-80.45,HOTEL JAVA
519,Warangal,IN,73.54,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
524,Manga,BF,94.78,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
525,Richards Bay,ZA,85.48,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
528,Quatre Cocos,MU,75.31,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
529,Mattru,SL,86.29,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
533,Jalu,LY,72.63,overcast clouds,29.0331,21.5482,صاحبة الفخامة
535,Bongandanga,CD,82.35,broken clouds,1.5,21.05,
541,Mao,ES,72.16,few clouds,39.8885,4.2658,ARTIEM Capri
543,Venice,US,80.28,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
544,Maragogi,BR,82.6,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
549,Akola,IN,77.36,broken clouds,20.7333,77.0,Hotel City Pride
550,Jamkhed,IN,74.98,scattered clouds,18.7362,75.3121,Ugale's Residence
551,Pringsewu,ID,75.15,light rain,-5.3582,104.9744,Urban Style by Front One
555,Bandarbeyla,SO,79.77,clear sky,9.4942,50.8122,JABIR HOTEL
560,Abu Samrah,SY,67.93,clear sky,35.3029,37.1841,
562,Caluquembe,AO,79.79,broken clouds,-13.7833,14.6833,Hotel Kalukembe
564,Les Cayes,HT,82.96,clear sky,18.2,-73.75,Villa Orphee
565,Meiganga,CM,86.86,broken clouds,6.5167,14.3,DFR HOUSE
566,Santa Helena De Goias,BR,87.75,overcast clouds,-17.8136,-50.5969,Castro Castle Hotel
567,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
573,Monrovia,LR,85.77,light rain,6.3005,-10.7969,Sunset Inn
574,Pho Chai,TH,81.09,broken clouds,16.3283,103.7703,ก๊อฟคุงยางมือสอง
578,Kassala,SD,94.17,broken clouds,15.451,36.4,Amassi Hotel Gash
581,Sarangani,PH,84.02,light rain,5.4033,125.4636,JVL Inn and Cafeteria
585,Terra Santa,BR,94.59,overcast clouds,-2.1042,-56.4869,Hotel Sarah
586,Taquaritinga,BR,84.25,scattered clouds,-21.4061,-48.5047,J M Hotel
587,Basoko,CD,80.44,light rain,1.2391,23.616,Jackyna Hotel
