City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Leningradskiy,RU,2022-11-08 14:31:12,69.3833,178.4167,19.27,93,100,24.9
139,Bathsheba,BB,2022-11-08 14:31:12,13.2167,-59.5167,88.41,66,40,18.41
140,Rio Brilhante,BR,2022-11-08 14:31:13,-21.8019,-54.5464,83.79,31,53,6.96
141,Banda Aceh,ID,2022-11-08 14:31:13,5.5577,95.3222,79.47,81,100,3.56
142,Vardo,NO,2022-11-08 14:31:13,70.3705,31.1107,39.18,81,75,6.91
143,Gazojak,TM,2022-11-08 14:32:14,41.1875,61.4036,43.92,50,34,4.85
144,Fortuna,US,2022-11-08 14:32:15,40.5982,-124.1573,43.36,96,75,11.5
145,Derzhavinsk,KZ,2022-11-08 14:32:15,51.1,66.3167,28.04,89,100,10.42
146,Denpasar,ID,2022-11-08 14:32:16,-8.65,115.2167,78.46,94,75,1.14
147,Ambovombe,MG,2022-11-08 14:32:16,-25.1667,46.0833,76.3,74,2,8.68
148,Nalut,LY,2022-11-08 14:32:17,30.3333,10.85,72.07,24,0,3.83
149,Novyy Urgal,RU,2022-11-08 14:32:17,51.0736,132.5642,22.84,81,66,2.82
150,Bredasdorp,ZA,2022-11-08 14:32:18,-34.5322,20.0403,68.2,57,53,19.48
151,Silifke,TR,2022-11-08 14:32:18,36.3778,33.9344,66.15,61,52,2.64
152,Sao Filipe,CV,2022-11-08 14:32:19,14.8961,-24.4956,79.54,62,97,9.04
153,Kalmunai,LK,2022-11-08 14:32:19,7.4167,81.8167,77.86,87,99,7.47
154,Cabo San Lucas,MX,2022-11-08 14:32:20,22.8909,-109.9124,74.52,65,7,3.0
155,Ibra,OM,2022-11-08 14:32:20,22.6906,58.5334,83.52,32,97,10.83
156,Traverse City,US,2022-11-08 14:32:21,44.7631,-85.6206,39.4,79,75,0.0
157,Kenora,CA,2022-11-08 14:32:22,49.8167,-94.4337,32.97,86,100,13.8
158,Whitehorse,CA,2022-11-08 14:27:47,60.7161,-135.0538,8.02,71,100,19.57
159,Vao,NC,2022-11-08 14:32:22,-22.6667,167.4833,74.41,85,30,10.89
160,Xai-Xai,MZ,2022-11-08 14:32:23,-25.0519,33.6442,82.49,66,57,13.85
161,Fairbanks,US,2022-11-08 14:31:31,64.8378,-147.7164,23.59,89,100,3.44
162,Rincon,US,2022-11-08 14:32:24,32.296,-81.2354,73.85,60,20,14.97
163,Dikson,RU,2022-11-08 14:32:24,73.5069,80.5464,4.01,96,87,4.99
164,Altay,CN,2022-11-08 14:32:25,47.8667,88.1167,41.67,77,100,5.44
165,Port Hardy,CA,2022-11-08 14:32:26,50.6996,-127.4199,30.38,59,20,25.32
166,Zhigansk,RU,2022-11-08 14:32:27,66.7697,123.3711,-13.0,96,93,7.92
167,Kodiak,US,2022-11-08 14:32:27,57.79,-152.4072,36.91,100,100,4.61
168,Laguna,US,2022-11-08 14:32:28,38.421,-121.4238,50.05,92,100,10.36
169,Yining,CN,2022-11-08 14:32:28,29.0361,114.5636,61.21,70,2,1.66
170,Kirakira,SB,2022-11-08 14:32:28,-10.4544,161.9205,79.54,83,18,5.39
171,Nurota,UZ,2022-11-08 14:32:29,40.5614,65.6886,38.14,65,62,3.91
172,Boshkengash,TJ,2022-11-08 14:32:29,38.4661,68.8053,43.14,87,100,2.24
173,Baton Rouge,US,2022-11-08 14:31:14,30.4508,-91.1545,74.05,81,0,4.61
174,Zhanakorgan,KZ,2022-11-08 14:32:29,43.9098,67.2495,41.99,60,100,5.66
175,Te Anau,NZ,2022-11-08 14:32:29,-45.4167,167.7167,47.19,94,47,2.39
176,Vysokogornyy,RU,2022-11-08 14:32:30,50.1167,139.15,17.49,94,46,3.47
177,Nsanje,MW,2022-11-08 14:32:30,-16.92,35.262,93.79,38,96,2.84
178,Yulara,AU,2022-11-08 14:32:30,-25.2406,130.9889,77.05,45,39,4.68
179,Christchurch,NZ,2022-11-08 14:29:19,-43.5333,172.6333,55.9,83,5,9.22
180,Akmene,LT,2022-11-08 14:32:31,56.25,22.75,51.24,94,100,12.41
181,Krasnovishersk,RU,2022-11-08 14:32:31,60.4078,57.082,32.27,99,100,4.99
182,Vila Franca Do Campo,PT,2022-11-08 14:32:31,37.7167,-25.4333,67.19,69,59,9.57
183,Majene,ID,2022-11-08 14:32:32,-3.5403,118.9707,76.21,95,100,8.14
184,Cockburn Town,TC,2022-11-08 14:32:32,21.4612,-71.1419,81.14,71,2,11.59
185,Tolaga Bay,NZ,2022-11-08 14:32:32,-38.3667,178.3,58.3,96,100,11.52
186,Qingdao,CN,2022-11-08 14:33:33,36.0986,120.3719,51.4,100,100,4.47
187,Pingliang,CN,2022-11-08 14:33:33,35.5392,106.6861,47.62,81,94,3.15
188,Bethel,US,2022-11-08 14:33:33,41.3712,-73.414,51.03,50,0,14.97
189,Waitati,NZ,2022-11-08 14:33:34,-45.75,170.5667,50.88,90,11,3.22
190,Fare,PF,2022-11-08 14:33:34,-16.7,-151.0167,77.49,75,81,10.07
191,Zeya,RU,2022-11-08 14:33:34,53.75,127.2667,25.3,97,100,4.0
192,Sesheke,ZM,2022-11-08 14:33:34,-17.4759,24.2968,80.55,53,42,9.69
193,Homer,US,2022-11-08 14:33:35,59.6425,-151.5483,42.69,68,100,6.91
194,Paita,PE,2022-11-08 14:33:35,-5.0892,-81.1144,68.72,73,100,7.63
195,Les Escoumins,CA,2022-11-08 14:33:36,48.1111,-69.0236,34.95,58,100,20.56
196,Zaranj,AF,2022-11-08 14:33:36,30.9667,61.8833,60.76,46,21,20.22
